node_id,area,coord,node_type_raw,node_type_norm,x,y,current_alliance,owner_server,owner_server_source,server_side,pact_status,pact_source,status_raw,status_norm,captured_at_jst,safe_until_jst,protection_status,last_event_at,last_event_owner,event_count,confidence,enemy_flag,destroyed_flag,warning_flags,source_row,updated_at_jst,memo
中央:中央-16-17,中央,中央-16-17,祭壇,unknown,824,224,TrX,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,TrX,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1854,2026-05-31T14:21:08+09:00,
中央:中央-16-6,中央,中央-16-6,祭壇,unknown,274,224,NBNH,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,NBNH,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1855,2026-05-31T14:21:08+09:00,
中央:中央-16-7,中央,中央-16-7,祭壇,unknown,324,224,4tH,534,alliance_directory,self,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,4tH,0,medium,FALSE,FALSE,,1856,2026-05-31T14:21:08+09:00,
中央:中央-16-8,中央,中央-16-8,祭壇,unknown,374,224,nO9,534,manual_override,self,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,nO9,0,medium,FALSE,FALSE,,1857,2026-05-31T14:21:08+09:00,
中央:中央-17-11,中央,中央-17-11,祭壇,unknown,524,174,SsQ,509,alliance_alias,ally,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,SsQ,0,medium,FALSE,FALSE,,1858,2026-05-31T14:21:08+09:00,
中央:中央-17-12,中央,中央-17-12,祭壇,unknown,574,174,BHE,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,BHE,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1859,2026-05-31T14:21:08+09:00,
中央:中央-17-13,中央,中央-17-13,祭壇,unknown,624,174,EDFS,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,EDFS,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1860,2026-05-31T14:21:08+09:00,
中央:中央-17-14,中央,中央-17-14,祭壇,unknown,674,174,K4TR,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,K4TR,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1861,2026-05-31T14:21:08+09:00,
中央:中央-17-15,中央,中央-17-15,祭壇,unknown,724,174,CDf8,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,CDf8,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1862,2026-05-31T14:21:08+09:00,
中央:中央-17-16,中央,中央-17-16,祭壇,unknown,774,174,IMP,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,IMP,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1863,2026-05-31T14:21:08+09:00,
中央:中央-17-6,中央,中央-17-6,祭壇,unknown,274,174,NBNH,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,NBNH,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1864,2026-05-31T14:21:08+09:00,
中央:中央-17-7,中央,中央-17-7,祭壇,unknown,324,174,u3o,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,u3o,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1865,2026-05-31T14:21:08+09:00,
中央:中央-17-9,中央,中央-17-9,祭壇,unknown,424,174,2N7,511,alliance_directory,ally,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,2N7,0,medium,FALSE,FALSE,,1866,2026-05-31T14:21:08+09:00,
