node_id,area,coord,node_type_raw,node_type_norm,x,y,current_alliance,owner_server,owner_server_source,server_side,pact_status,pact_source,status_raw,status_norm,captured_at_jst,safe_until_jst,protection_status,last_event_at,last_event_owner,event_count,confidence,enemy_flag,destroyed_flag,warning_flags,source_row,updated_at_jst,memo
#511:E-15,#511,E-15,漁場,fishery,699,399,WbW,,unknown,unknown,unknown,,active,owned,2026/05/30 15:34,,safe_time_missing,2026/05/30 15:34,WbW,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1131,2026-05-30T23:03:59+09:00,
#511:F-5,#511,F-5,漁場,fishery,199,499,JL2,,unknown,unknown,unknown,,active,owned,2026/05/24 1:14,,safe_time_missing,2026/05/24 1:14,JL2,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1132,2026-05-30T23:03:59+09:00,
#511:B-3,#511,B-3,漁場,fishery,99,99,u3o,,unknown,unknown,unknown,,active,owned,2026/05/24 0:50,,safe_time_missing,2026/05/24 0:50,u3o,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1133,2026-05-30T23:03:59+09:00,
#511:D-13,#511,D-13,漁場,fishery,599,299,JLO,,unknown,unknown,unknown,,active,owned,2026/05/24 0:50,,safe_time_missing,2026/05/24 0:50,JLO,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1134,2026-05-30T23:03:59+09:00,
#511:E-7,#511,E-7,漁場,fishery,299,399,fIrE,,unknown,unknown,unknown,,active,owned,2026/05/28 7:10,,safe_time_missing,2026/05/28 7:10,fIrE,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1135,2026-05-30T23:03:59+09:00,
#511:F-7,#511,F-7,漁場,fishery,299,499,fIrE,,unknown,unknown,unknown,,active,owned,2026/05/23 23:30,,safe_time_missing,2026/05/23 23:30,fIrE,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1138,2026-05-30T23:03:59+09:00,
#511:G-7,#511,G-7,漁場,fishery,299,599,WUG,,unknown,unknown,unknown,,active,owned,2026/05/23 23:24,,safe_time_missing,2026/05/23 23:24,WUG,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1139,2026-05-30T23:03:59+09:00,
#511:J-19,#511,J-19,漁場,fishery,899,899,CDf8,,unknown,unknown,unknown,,active,owned,2026/05/23 23:24,,safe_time_missing,2026/05/23 23:24,CDf8,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1143,2026-05-30T23:03:59+09:00,
#511:H-17,#511,H-17,漁場,fishery,799,699,WbW,,unknown,unknown,unknown,,active,owned,2026/05/23 23:07,,safe_time_missing,2026/05/23 23:07,WbW,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1145,2026-05-30T23:03:59+09:00,
#511:H-7,#511,H-7,漁場,fishery,299,699,JLO,,unknown,unknown,unknown,,active,owned,2026/05/23 23:07,,safe_time_missing,2026/05/23 23:07,JLO,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1146,2026-05-30T23:03:59+09:00,
#511:J-9,#511,J-9,漁場,fishery,399,899,OOEf,,unknown,unknown,unknown,,active,owned,2026/05/23 23:07,,safe_time_missing,2026/05/23 23:07,OOEf,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1148,2026-05-30T23:03:59+09:00,
#511:j-8,#511,j-8,都市,city,349,949,JL2,,unknown,unknown,unknown,,active,owned,2026/05/23 11:37,,safe_time_missing,2026/05/23 11:37,JL2,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1151,2026-05-30T23:03:59+09:00,
#511:c-12,#511,c-12,都市,city,549,249,JL0,,unknown,unknown,unknown,,active,owned,2026/05/23 11:08,,safe_time_missing,2026/05/23 11:08,JL0,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1154,2026-05-30T23:03:59+09:00,
#511:f-8,#511,f-8,都市,city,349,549,JL0,,unknown,unknown,unknown,,active,owned,2026/05/23 11:02,,safe_time_missing,2026/05/23 11:02,JL0,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1156,2026-05-30T23:03:59+09:00,
