owner_alliance,inferred_server,directory_server,directory_match_type,node_count,area_counts,node_type_counts,sample_node_ids,sample_node_labels,current_affiliation,reason
5DU,,,none,10,"{""#523"":8,""#511"":2}","{""漁場"":8,""都市"":2}",#511:D-3;#511:E-5;#523:b-12;#523:c-14;#523:C-21;#523:F-19;#523:C-17;#523:C-19,D-3;E-5;b-12;c-14;C-21;F-19;C-17;C-19,unknown,missing_from_pacts
FarM,,,none,10,"{""#503"":10}","{""漁場"":8,""都市"":2}",#503:h-8;#503:I-7;#503:I-9;#503:i-8;#503:J-9;#503:J-7;#503:K-5;#503:K-7,h-8;I-7;I-9;i-8;J-9;J-7;K-5;K-7,unknown,missing_from_pacts
JL0,,,none,10,"{""#511"":4,""中央"":4,""#523"":2}","{""漁場"":5,""都市"":3,""祭壇"":2}",#511:K-11;#511:c-12;#511:c-8;#511:h-8;#523:J-19;#523:I-19;中央:中央-17-8;中央:中央-15-10,K-11;c-12;c-8;h-8;J-19;I-19;中央-17-8;中央-15-10,unknown,missing_from_pacts
MtG,,,none,9,"{""#480"":6,""中央"":3}","{""漁場"":7,""都市"":1,""祭壇"":1}",#480:K-15;#480:I-5;#480:F-1;#480:G-1;#480:J-1;#480:j-16;中央:中央-15-16;中央:中央-8-20,K-15;I-5;F-1;G-1;J-1;j-16;中央-15-16;中央-8-20,unknown,missing_from_pacts
OWM,,,none,9,"{""#509"":9}","{""漁場"":7,""都市"":2}",#509:B-15;#509:G-15;#509:J-3;#509:J-5;#509:j-6;#509:j-8;#509:K-3;#509:K-5,B-15;G-15;J-3;J-5;j-6;j-8;K-3;K-5,unknown,missing_from_pacts
COZy,,,none,8,"{""#480"":5,""#503"":2,""中央"":1}","{""漁場"":5,""都市"":2,""祭壇"":1}",#480:K-9;#480:j-20;#480:B-21;#480:C-21;#480:E-21;#503:A-9;#503:a-20;中央:中央-10-17,K-9;j-20;B-21;C-21;E-21;A-9;a-20;中央-10-17,unknown,missing_from_pacts
AoW,,,none,7,"{""#509"":7}","{""都市"":4,""漁場"":3}",#509:b-14;#509:K-9;#509:a-18;#509:B-19;#509:I-9;#509:b-18;#509:j-10,b-14;K-9;a-18;B-19;I-9;b-18;j-10,unknown,missing_from_pacts
IMp,,,none,7,"{""#440"":6,""#511"":1}","{""漁場"":5,""都市"":2}",#440:D-3;#440:E-1;#440:J-7;#440:G-1;#440:c-10;#440:g-4;#511:C-17,D-3;E-1;J-7;G-1;c-10;g-4;C-17,unknown,missing_from_pacts
JLO,,,none,7,"{""中央"":4,""#511"":3}","{""漁場"":7}",#511:D-13;#511:H-7;#511:H-9;中央:中央-17-4;中央:中央-18-8;中央:中央-19-7;中央:中央-20-7,D-13;H-7;H-9;中央-17-4;中央-18-8;中央-19-7;中央-20-7,unknown,missing_from_pacts
MOE,,,none,7,"{""#534"":4,""中央"":3}","{""漁場"":3,""祭壇"":3,""都市"":1}",#534:B-15;#534:b-16;#534:C-17;#534:D-17;中央:中央-11-5;中央:中央-14-5;中央:中央-14-6,B-15;b-16;C-17;D-17;中央-11-5;中央-14-5;中央-14-6,unknown,missing_from_pacts
