node_id,coord,node_type_norm,current_alliance,status_norm,protection_status,safe_until_jst,frontline_group,server_side,enemy_flag,destroyed_flag,strategic_value,risk_score,risk_level,risk_note
#503:i-18,i-18,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:I-19,I-19,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:i-20,i-20,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:I-21,I-21,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:I-3,I-3,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:i-4,i-4,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:I-5,I-5,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:i-6,i-6,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:J-1,J-1,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:J-13,J-13,fishery,RING,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:j-16,j-16,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:j-18,j-18,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:J-19,J-19,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:j-20,j-20,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:J-21,J-21,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:j-4,j-4,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:J-5,J-5,fishery,FarM,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:j-6,j-6,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:K-11,K-11,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:K-13,K-13,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:K-15,K-15,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:K-19,K-19,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:K-21,K-21,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:K-3,K-3,fishery,FarM,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:K-9,K-9,fishery,RING,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#509:b-14,b-14,city,AoW,owned,safe_time_missing,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#509:B-15,B-15,fishery,OWM,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#509:C-15,C-15,fishery,AoW,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#509:B-17,B-17,fishery,SHA,owned,safe_time_missing,,other,enemy,TRUE,FALSE,10,50,mid,fishery +10; enemy_flag +40
#509:a-16,a-16,city,SHA,owned,safe_time_missing,,other,enemy,TRUE,FALSE,30,70,high,city +30; enemy_flag +40
#509:K-9,K-9,fishery,AoW,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#509:F-9,F-9,fishery,476A,owned,safe_time_missing,,other,enemy,TRUE,FALSE,10,50,mid,fishery +10; enemy_flag +40
#509:D-11,D-11,fishery,476A,owned,safe_time_missing,,frontline_core,enemy,TRUE,FALSE,10,80,high,fishery +10; enemy_flag +40; frontline_core +30
#509:E-11,E-11,fishery,FHX,owned,safe_time_missing,,frontline_core,ally,FALSE,FALSE,10,40,mid,fishery +10; frontline_core +30
#509:I-5,I-5,fishery,fzn,owned,safe_time_missing,,other,enemy,TRUE,FALSE,10,50,mid,fishery +10; enemy_flag +40
#509:I-7,I-7,fishery,fzn,owned,safe_time_missing,,other,enemy,TRUE,FALSE,10,50,mid,fishery +10; enemy_flag +40
#509:K-11,K-11,fishery,OTT,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#509:H-17,H-17,fishery,FHX,owned,safe_time_missing,,other,ally,FALSE,FALSE,10,10,low,fishery +10
#509:C-19,C-19,fishery,RCON,owned,safe_time_missing,,other,enemy,TRUE,FALSE,10,50,mid,fishery +10; enemy_flag +40
#509:D-13,D-13,fishery,476A,owned,safe_time_missing,,frontline_core,enemy,TRUE,FALSE,10,80,high,fishery +10; enemy_flag +40; frontline_core +30
#509:F-15,F-15,fishery,MOn,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#509:I-15,I-15,fishery,Stj,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#509:J-13,J-13,fishery,fzn,owned,safe_time_missing,,other,enemy,TRUE,FALSE,10,50,mid,fishery +10; enemy_flag +40
#509:a-18,a-18,city,AoW,owned,safe_time_missing,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#509:K-13,K-13,fishery,OTT,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#509:B-19,B-19,fishery,AoW,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#509:b-16,b-16,city,OWM,owned,safe_time_missing,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#509:D-7,D-7,fishery,,neutral_or_unknown,neutral_or_unknown,,frontline_adjacent,unknown,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
#509:A-21,A-21,fishery,one,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#509:I-17,I-17,fishery,Stj,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#509:D-21,D-21,fishery,SsQ,owned,safe_time_missing,,frontline_adjacent,ally,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
