issue,key,management_row,type,owner,expected,full_map,map_row,map_column,memo
owned_key_not_in_template,中央:中央-6-4,1816,祭壇,476Z,476Z,,,,グレー吹き出しOCR IMG_1141.PNG / #8061 X:174 Y:724 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-6-5,1801,祭壇,476Z,476Z,,,,グレー吹き出しOCR IMG_1146.PNG / #8061 X:224 Y:724 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-6-6,1817,祭壇,476M,476M,,,,グレー吹き出しOCR IMG_1141.PNG / #8061 X:274 Y:724 Lv.2 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-6-7,1893,祭壇,476d,476d,,,,RAW_OCR_LOG row46 / #8061 X:324 Y:724 Lv.2 こだまの祭壇 / 中立/未登録 -> 476d / 画像:1EFAEC65
owned_key_not_in_template,中央:中央-6-8,1894,祭壇,476C,476C,,,,グレー吹き出しOCR IMG_1131.PNG / #8061 X:374 Y:724 Lv.2 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-6-9,1895,祭壇,476X,476X,,,,グレー吹き出しOCR IMG_1131.PNG / #8061 X:424 Y:724 Lv.2 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-7-14,1896,祭壇,TIKW,TIKW,,,,グレー吹き出しOCR IMG_1125.PNG / #8061 X:674 Y:674 Lv.2 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-7-15,1897,祭壇,FHX,FHX,,,,グレー吹き出しOCR IMG_1133.PNG / #8061 X:724 Y:674 Lv.2 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-7-16,1898,祭壇,FHX,FHX,,,,グレー吹き出しOCR IMG_1122.PNG / #8061 X:774 Y:674 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-7-17,1899,祭壇,one,one,,,,グレー吹き出しOCR IMG_1125.PNG / #8061 X:824 Y:674 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-7-18,1961,漁場,FHX,FHX,,,,赤字OCR IMG_0698.PNG / 中央 X:874 Y:674 Lv7 漁場 / RCON -> FHX / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-7-19,1962,漁場,GcC,GcC,,,,Dropbox赤字OCR IMG_1481.PNG / #8061 X:924 Y:674 Lv.6 漁場 / 中立/未登録 -> GcC
owned_key_not_in_template,中央:中央-7-2,2150,漁場,ALj,ALj,,,,Dropbox赤字OCR IMG_1656.PNG / #8061 X:74 Y:674 Lv.6 漁場 / 中立/未登録 -> ALj
owned_key_not_in_template,中央:中央-7-20,2011,漁場,MtG,MtG,,,,Dropbox red OCR IMG_1923.PNG / #8061 X:974 Y:674 Lv.5 漁場 / OCR+Paddle checked
owned_key_not_in_template,中央:中央-7-3,2151,漁場,ALj,ALj,,,,Dropbox赤字OCR IMG_1591.PNG / #8061 X:124 Y:674 Lv.7 漁場 / 中立/未登録 -> ALj
owned_key_not_in_template,中央:中央-7-4,1818,祭壇,VEX,VEX,,,,グレー吹き出しOCR IMG_1142.PNG / #8061 X:174 Y:674 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-7-5,1789,祭壇,476H,476H,,,,グレー吹き出しOCR IMG_1149.PNG / #8061 X:224 Y:674 Lv.1 祭壇 / 画像内表示
owned_key_not_in_template,中央:中央-7-6,1900,祭壇,476H,476H,,,,グレー吹き出しOCR IMG_1131.PNG / #8061 X:274 Y:674 Lv.2 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-7-7,1790,祭壇,476Z,476Z,,,,RAW_OCR_LOG row61 / #8061 X:324 Y:674 Lv.2 こだまの祭壇 / 中立/未登録 -> 476Z / 画像:1505E4F4
owned_key_not_in_template,中央:中央-8-1,2036,漁場,ALj,ALj,,,,OCR IMG_0498.PNG / #8061 X:24 Y:624 Lv.5
owned_key_not_in_template,中央:中央-8-15,1901,祭壇,Stj,Stj,,,,グレー吹き出しOCR IMG_1135.PNG / #8061 X:724 Y:624 Lv.2 祭壇 / 時刻は前後スクショから推定 / OCR補正:Sti->Stj
owned_key_not_in_template,中央:中央-8-16,1902,祭壇,Bye,Bye,,,,グレー吹き出しOCR IMG_1124.PNG / #8061 X:774 Y:624 Lv.1 祭壇 / 時刻は前後スクショから推定
