image,screen_type,event_time,actor_server,actor_alliance,opponent_alliance,target_server,x,y,level,terrain,kind_raw,kind_sheet,action,owner_for_sheet,confidence,time_source,source_text
frame_0023.png,history_modal,2026/05/27 12:07:41,#523,K4TR,2N7,#511,149,149,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#523[K4TR]が#511[2N7]領有中のLV.1都市#511(149,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:07:41"
frame_0023.png,history_modal,2026/05/27 12:11:39,#476,476C,SHA,#534,449,249,2,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476C]が#534[SHA]領有中のLV.2都市 #534(449,249)を攻撃し、陣営のために破壊宝箱★5を勝 ち取りました 2026-5-27 12:11:39"
frame_0024.png,history_modal,2026/05/27 12:07:41,#523,K4TR,2N7,#511,149,149,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#523[K4TR]が#511[2N7]領有中のLV.1都市#511(149,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:07:41"
frame_0024.png,history_modal,2026/05/27 12:11:39,#476,476C,SHA,#534,449,249,2,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476c]が#534[5HA]領有中のLV.2都市 #534(449,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:11:39"
frame_0024.png,history_modal,2026/05/27 12:13:53,#476,476C,SHA,#534,349,249,2,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476c]が#534[SHA]領有中のLV.2都市 #534(349,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:13:53"
frame_0025.png,history_modal,2026/05/27 12:07:38,#480,BgNa,,#511,849,649,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#480[BgNa]が#511領有中のLV.1都市#511(849,649)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:07:38"
frame_0025.png,history_modal,2026/05/27 12:07:41,#523,K4TR,2N7,#511,149,149,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#523[K4TR]が#511[2N7]領有中のLV.1都市#511(149,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:07:41"
frame_0025.png,history_modal,2026/05/27 12:11:30,#440,BAJ,BgNa,#480,249,249,2,,都市,都市,destroy,破壊,medium,visible_datetime,"#440[BAが#480[BgNa]領有中のLv.2都市 #480(249,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:11:30"
frame_0025.png,history_modal,2026/05/27 12:13:53,#476,4764,SHA,#534,349,249,2,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[4764]が#534[SHA]領有中のLV.2都市 #534(349,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:13:53"
frame_0026.png,history_modal,2026/05/27 12:07:41,#523,K4TR,2N7,#511,149,149,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#523[K4TR]が#511[2N7]領有中のLV.1都市#511(149,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:07:41"
